,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,1.146177,0.522988,0.868813,14.390822
2,GLASSO,20,0.968834,0.441155,0.592579,11.280713
3,GLASSO,20,1.034677,0.460378,0.66222,7.759144
4,GLASSO,20,0.814263,0.467323,0.417335,5.066967
5,GLASSO,20,1.015813,0.412216,0.63897,11.615712
6,GLASSO,20,1.198917,0.559854,0.886767,7.397765
7,GLASSO,20,0.982856,0.449943,0.578808,5.383026
8,GLASSO,20,1.08776,0.47793,0.77851,12.144329
9,GLASSO,20,0.888021,0.381102,0.466527,3.553269
10,GLASSO,20,0.931876,0.435562,0.537517,6.454832
11,GLASSO,20,0.983746,0.44553,0.611702,7.919137
12,GLASSO,20,0.794626,0.347755,0.379598,3.935775
13,GLASSO,20,0.935951,0.42487,0.53372,10.125197
14,GLASSO,20,1.19916,0.47249,0.955966,14.85715
15,GLASSO,20,1.073624,0.469155,0.743732,12.98722
16,GLASSO,20,0.802749,0.386238,0.390483,6.869556
17,GLASSO,20,1.121444,0.493344,0.829823,10.580803
18,GLASSO,20,1.104601,0.492304,0.801194,12.989934
19,GLASSO,20,0.867271,0.454319,0.466591,6.545145
20,GLASSO,20,1.026986,0.418496,0.659092,13.150176
21,GLASSO,20,1.092762,0.491943,0.751885,8.111253
22,GLASSO,20,1.046956,0.428956,0.693466,12.543446
23,GLASSO,20,1.012132,0.409567,0.634414,10.454601
24,GLASSO,20,1.081143,0.525931,0.748122,8.940698
25,GLASSO,20,1.014147,0.472686,0.652851,8.566547
26,GLASSO,20,1.129969,0.500893,0.834277,11.228063
27,GLASSO,20,1.095569,0.47148,0.774706,13.837417
28,GLASSO,20,1.071179,0.498473,0.718223,6.008672
29,GLASSO,20,1.24108,0.49733,1.026912,21.815644
30,GLASSO,20,1.137385,0.470114,0.82771,18.892954
31,GLASSO,20,1.089253,0.513457,0.783849,8.484095
32,GLASSO,20,0.945699,0.410538,0.529742,5.793329
33,GLASSO,20,1.019967,0.40481,0.635174,8.393841
34,GLASSO,20,0.882741,0.44683,0.501042,7.272534
35,GLASSO,20,1.034295,0.518884,0.702455,11.598736
36,GLASSO,20,1.105179,0.482959,0.737635,4.053432
37,GLASSO,20,1.087639,0.464769,0.757361,10.739781
38,GLASSO,20,0.817231,0.393957,0.381863,2.819608
39,GLASSO,20,0.931806,0.440365,0.52898,4.745781
40,GLASSO,20,0.884875,0.410172,0.472292,8.685678
41,GLASSO,20,0.919418,0.43542,0.514182,9.278013
42,GLASSO,20,1.010886,0.447463,0.636443,8.417
43,GLASSO,20,0.906879,0.399016,0.520177,7.79813
44,GLASSO,20,0.956248,0.499804,0.59471,8.286587
45,GLASSO,20,1.178729,0.461999,0.874492,15.013585
46,GLASSO,20,1.097064,0.462361,0.769034,14.5235
47,GLASSO,20,1.145838,0.438554,0.82463,18.517353
48,GLASSO,20,0.899867,0.381204,0.479373,5.439409
49,GLASSO,20,1.108343,0.398668,0.753997,19.050739
50,GLASSO,20,1.021444,0.392027,0.6505,12.412252
51,GLASSO,20,0.974622,0.498363,0.629376,7.989201
52,GLASSO,20,1.041674,0.526505,0.726077,11.692116
53,GLASSO,20,1.012204,0.555238,0.674401,11.496358
54,GLASSO,20,1.059873,0.445432,0.711026,14.078793
55,GLASSO,20,1.035078,0.50171,0.691411,8.159779
56,GLASSO,20,0.982742,0.433548,0.590172,6.067883
57,GLASSO,20,1.063007,0.446439,0.755501,10.853348
