"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"2" 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"3" 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"4" 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"5" 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"6" 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"7" 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"8" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"9" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"10" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"11" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"12" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"13" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36 0.36
"14" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36 0.36
"15" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36 0.36
"16" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36 0.36
"17" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36 0.36
"18" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36 0.36
"19" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1 0.36
"20" 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 1
